importoaggiudicazione	importosommeliquidate	importo_lotto	cf_amministrazione	sa_cap	sa_citta	sa_descrizione_natura_giuridica	sa_indirizzo	sa_provincia	codice_stazione	categoriaprevalente	cig	cig_accordoquadro	cpv	descrizione_cpv	denominazione_cc	localita	n_aggiudicatari	n_partecipanti	id_gara	oggetto_gara	oggetto_lotto	gara_lotti	oggetto_princ	sceltacontraente	denominazione_amministrazione	modalita_realizzazione	luogo_istat	sigla_provincia	luogo_nuts	flag_escluso	motivo_esclusione	id_categoria_prevalente	descrizione_categoria	esecuzione_urgenza	oggetto_princ_contratto	procedura	stato_attuale	datainizio	dataultimazione	data_pubblicazione	data_stato	data_aggiudicazione_def
98800.0	73112.0	0.0	80062590379	40127	BOLOGNA	AMMINISTRAZIONI PUBBLICHE	VIALE ALDO MORO 52	IT-BO	 	 	45864076C8	 	80511000-9	SERVIZI DI FORMAZIONE DEI DIPENDENTI	D.G. RISORSE EUROPA INNOVAZIONE E ISTITUZIONI- SERVIZIO APPROVVIGIONAMENTI PATRIMONIO LOGISTICA E SICUREZZA	tdb	1	4	4525327.0	AFFIDAMENTO SERVIZI DI PROGETTAZIONE ESECUTIVA, REALIZZAZIONE E COORDINAMENTO DELL'ATTIVITÀ DI FORMAZIONE/LABORATORIO FINALIZZATA ALLO SVILUPPO DI CAPACITÀ DI SCRITTURA PROFESSIONALE SEMPLIFICATA.	AFFIDAMENTO SERVIZI DI PROGETTAZIONE ESECUTIVA, REALIZZAZIONE E COORDINAMENTO DELL'ATTIVITÀ DI FORMAZIONE/LABORATORIO FINALIZZATA ALLO SVILUPPO DI CAPACITÀ DI SCRITTURA PROFESSIONALE SEMPLIFICATA.	No	SERVIZI	AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO	REGIONE EMILIA ROMAGNA	Acquisizione in economia	 	 	 	S	Art. 20 D.Lgs. 163/2006	FS	FORNITURA DI SERVIZI	 	 	 	 	2013-03-14	2014-03-14	2012-10-03	0000-01-01	0000-01-01
98800.0	73112.0	0.0	80062590379	40127	BOLOGNA	AMMINISTRAZIONI PUBBLICHE	VIALE ALDO MORO 52	IT-BO	 	 	45864076C8	 	80511000-9	SERVIZI DI FORMAZIONE DEI DIPENDENTI	D.G. RISORSE EUROPA INNOVAZIONE E ISTITUZIONI- SERVIZIO APPROVVIGIONAMENTI PATRIMONIO LOGISTICA E SICUREZZA	tdb	1	4	4525327.0	AFFIDAMENTO SERVIZI DI PROGETTAZIONE ESECUTIVA, REALIZZAZIONE E COORDINAMENTO DELL'ATTIVITÀ DI FORMAZIONE/LABORATORIO FINALIZZATA ALLO SVILUPPO DI CAPACITÀ DI SCRITTURA PROFESSIONALE SEMPLIFICATA.	AFFIDAMENTO SERVIZI DI PROGETTAZIONE ESECUTIVA, REALIZZAZIONE E COORDINAMENTO DELL'ATTIVITÀ DI FORMAZIONE/LABORATORIO FINALIZZATA ALLO SVILUPPO DI CAPACITÀ DI SCRITTURA PROFESSIONALE SEMPLIFICATA.	No	SERVIZI	AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO	REGIONE EMILIA ROMAGNA	Acquisizione in economia	 	 	 	S	Art. 20 D.Lgs. 163/2006	FS	FORNITURA DI SERVIZI	 	 	 	 	2013-03-14	2014-03-14	2012-10-03	0000-01-01	0000-01-01
125000000.0	125987.0	0.0	80011010495	57123	LIVORNO	AZIENDE REGIONALI, PROVINCIALI, COMUNALI E LORO CONSORZI	PIAZZA DEL MUNICIPIO 4	IT-LI	 	 	4693845B6B	 	55510000-8	SERVIZI DI MENSA	UFFICIO TECNICO	tdb	1	1	4623409.0	GARA PER LA FORNITURA DEL SERVIZIO SOSTITUTIVO DI MENSA MEDIANTE BUONI PASTO CARTACEI DI QUALSIASI VALORE NOMINALE E DEI SERVIZI CONNESSI IN FAVORE DELLE AMMINISTRAZIONI PUBBLICHE ? EDIZIONE 6 ? ID 901	GARA PER LA FORNITURA DEL SERVIZIO SOSTITUTIVO DI MENSA MEDIANTE BUONI PASTO CARTACEI DI QUALSIASI VALORE NOMINALE E DEI SERVIZI CONNESSI IN FAVORE DELLE AMMINISTRAZIONI PUBBLICHE ? EDIZIONE 6 ? ID 901 - LOTTO 2	Si	SERVIZI	PROCEDURA APERTA	CONSIP SPA	Accordo quadro/Convenzione	 	IT-RM	IT	N	 	FS	FORNITURA DI SERVIZI	 	 	 	 	2014-01-01	2015-12-31	2012-11-14	0000-01-01	2013-09-16
125000000.0	11780.0	0.0	91311930373	40033	CASALECCHIO DI RENO	AMMINISTRAZIONI PUBBLICHE	VIA DEI MILLE N 9	IT-BO	 	 	4693845B6B	 	55510000-8	SERVIZI DI MENSA	UFFICIO TECNICO	tdb	1	1	4623409.0	GARA PER LA FORNITURA DEL SERVIZIO SOSTITUTIVO DI MENSA MEDIANTE BUONI PASTO CARTACEI DI QUALSIASI VALORE NOMINALE E DEI SERVIZI CONNESSI IN FAVORE DELLE AMMINISTRAZIONI PUBBLICHE ? EDIZIONE 6 ? ID 901	GARA PER LA FORNITURA DEL SERVIZIO SOSTITUTIVO DI MENSA MEDIANTE BUONI PASTO CARTACEI DI QUALSIASI VALORE NOMINALE E DEI SERVIZI CONNESSI IN FAVORE DELLE AMMINISTRAZIONI PUBBLICHE ? EDIZIONE 6 ? ID 901 - LOTTO 2	Si	SERVIZI	PROCEDURA APERTA	CONSIP SPA	Accordo quadro/Convenzione	 	IT-RM	IT	N	 	FS	FORNITURA DI SERVIZI	 	 	 	 	2015-04-21	2015-04-21	2012-11-14	0000-01-01	2013-09-16
125000000.0	4340.0	0.0	92050890521	53030	RADICONDOLI	ASSOCIAZIONI NON RICONOSCIUTE E COMITATI	VIA TIBERIO GAZZEI	IT-SI	 	 	4693845B6B	 	55510000-8	SERVIZI DI MENSA	UFFICIO TECNICO	tdb	1	1	4623409.0	GARA PER LA FORNITURA DEL SERVIZIO SOSTITUTIVO DI MENSA MEDIANTE BUONI PASTO CARTACEI DI QUALSIASI VALORE NOMINALE E DEI SERVIZI CONNESSI IN FAVORE DELLE AMMINISTRAZIONI PUBBLICHE ? EDIZIONE 6 ? ID 901	GARA PER LA FORNITURA DEL SERVIZIO SOSTITUTIVO DI MENSA MEDIANTE BUONI PASTO CARTACEI DI QUALSIASI VALORE NOMINALE E DEI SERVIZI CONNESSI IN FAVORE DELLE AMMINISTRAZIONI PUBBLICHE ? EDIZIONE 6 ? ID 901 - LOTTO 2	Si	SERVIZI	PROCEDURA APERTA	CONSIP SPA	Accordo quadro/Convenzione	 	IT-RM	IT	N	 	FS	FORNITURA DI SERVIZI	 	 	 	 	2014-06-17	2014-09-05	2012-11-14	0000-01-01	2013-09-16
125000000.0	2670.0	0.0	03545770368	41026	PAVULLO NEL FRIGNANO	ENTI PUBBLICI NON ECONOMICI	VIA GIARDINI 15	IT-MO	 	 	4693845B6B	 	55510000-8	SERVIZI DI MENSA	UFFICIO TECNICO	tdb	1	1	4623409.0	GARA PER LA FORNITURA DEL SERVIZIO SOSTITUTIVO DI MENSA MEDIANTE BUONI PASTO CARTACEI DI QUALSIASI VALORE NOMINALE E DEI SERVIZI CONNESSI IN FAVORE DELLE AMMINISTRAZIONI PUBBLICHE ? EDIZIONE 6 ? ID 901	GARA PER LA FORNITURA DEL SERVIZIO SOSTITUTIVO DI MENSA MEDIANTE BUONI PASTO CARTACEI DI QUALSIASI VALORE NOMINALE E DEI SERVIZI CONNESSI IN FAVORE DELLE AMMINISTRAZIONI PUBBLICHE ? EDIZIONE 6 ? ID 901 - LOTTO 2	Si	SERVIZI	PROCEDURA APERTA	CONSIP SPA	Accordo quadro/Convenzione	 	IT-RM	IT	N	 	FS	FORNITURA DI SERVIZI	 	 	 	 	2014-03-04	2014-12-31	2012-11-14	0000-01-01	2013-09-16
125000000.0	23448.79	0.0	00356680397	48121	RAVENNA	ENTI PUBBLICI NON ECONOMICI	PIAZZA CADUTI PER LA LIBERTA' 2	IT-RA	 	 	4693845B6B	 	55510000-8	SERVIZI DI MENSA	UFFICIO TECNICO	tdb	1	1	4623409.0	GARA PER LA FORNITURA DEL SERVIZIO SOSTITUTIVO DI MENSA MEDIANTE BUONI PASTO CARTACEI DI QUALSIASI VALORE NOMINALE E DEI SERVIZI CONNESSI IN FAVORE DELLE AMMINISTRAZIONI PUBBLICHE ? EDIZIONE 6 ? ID 901	GARA PER LA FORNITURA DEL SERVIZIO SOSTITUTIVO DI MENSA MEDIANTE BUONI PASTO CARTACEI DI QUALSIASI VALORE NOMINALE E DEI SERVIZI CONNESSI IN FAVORE DELLE AMMINISTRAZIONI PUBBLICHE ? EDIZIONE 6 ? ID 901 - LOTTO 2	Si	SERVIZI	PROCEDURA APERTA	CONSIP SPA	Accordo quadro/Convenzione	 	IT-RM	IT	N	 	FS	FORNITURA DI SERVIZI	 	 	 	 	0000-01-01	0000-01-01	2012-11-14	0000-01-01	2013-09-16
125000000.0	30272.78	0.0	80062590379	40127	BOLOGNA	AMMINISTRAZIONI PUBBLICHE	VIALE ALDO MORO 52	IT-BO	 	 	4693845B6B	 	55510000-8	SERVIZI DI MENSA	UFFICIO TECNICO	tdb	1	1	4623409.0	GARA PER LA FORNITURA DEL SERVIZIO SOSTITUTIVO DI MENSA MEDIANTE BUONI PASTO CARTACEI DI QUALSIASI VALORE NOMINALE E DEI SERVIZI CONNESSI IN FAVORE DELLE AMMINISTRAZIONI PUBBLICHE ? EDIZIONE 6 ? ID 901	GARA PER LA FORNITURA DEL SERVIZIO SOSTITUTIVO DI MENSA MEDIANTE BUONI PASTO CARTACEI DI QUALSIASI VALORE NOMINALE E DEI SERVIZI CONNESSI IN FAVORE DELLE AMMINISTRAZIONI PUBBLICHE ? EDIZIONE 6 ? ID 901 - LOTTO 2	Si	SERVIZI	PROCEDURA APERTA	CONSIP SPA	Accordo quadro/Convenzione	 	IT-RM	IT	N	 	FS	FORNITURA DI SERVIZI	 	 	 	 	2014-06-12	2017-02-06	2012-11-14	0000-01-01	2013-09-16
125000000.0	0.0	0.0	00100750538	58023	GAVORRANO	ENTI PUBBLICI NON ECONOMICI	PIAZZA BRUNO BUOZZI 16	IT-GR	 	 	4693845B6B	 	55510000-8	SERVIZI DI MENSA	UFFICIO TECNICO	tdb	1	1	4623409.0	GARA PER LA FORNITURA DEL SERVIZIO SOSTITUTIVO DI MENSA MEDIANTE BUONI PASTO CARTACEI DI QUALSIASI VALORE NOMINALE E DEI SERVIZI CONNESSI IN FAVORE DELLE AMMINISTRAZIONI PUBBLICHE ? EDIZIONE 6 ? ID 901	GARA PER LA FORNITURA DEL SERVIZIO SOSTITUTIVO DI MENSA MEDIANTE BUONI PASTO CARTACEI DI QUALSIASI VALORE NOMINALE E DEI SERVIZI CONNESSI IN FAVORE DELLE AMMINISTRAZIONI PUBBLICHE ? EDIZIONE 6 ? ID 901 - LOTTO 2	Si	SERVIZI	PROCEDURA APERTA	CONSIP SPA	Accordo quadro/Convenzione	 	IT-RM	IT	N	 	FS	FORNITURA DI SERVIZI	 	 	 	 	2014-06-13	2014-07-11	2012-11-14	0000-01-01	2013-09-16
125000000.0	486848.5	0.0	80062590379	40127	BOLOGNA	AMMINISTRAZIONI PUBBLICHE	VIALE ALDO MORO 52	IT-BO	 	 	4693845B6B	 	55510000-8	SERVIZI DI MENSA	UFFICIO TECNICO	tdb	1	1	4623409.0	GARA PER LA FORNITURA DEL SERVIZIO SOSTITUTIVO DI MENSA MEDIANTE BUONI PASTO CARTACEI DI QUALSIASI VALORE NOMINALE E DEI SERVIZI CONNESSI IN FAVORE DELLE AMMINISTRAZIONI PUBBLICHE ? EDIZIONE 6 ? ID 901	GARA PER LA FORNITURA DEL SERVIZIO SOSTITUTIVO DI MENSA MEDIANTE BUONI PASTO CARTACEI DI QUALSIASI VALORE NOMINALE E DEI SERVIZI CONNESSI IN FAVORE DELLE AMMINISTRAZIONI PUBBLICHE ? EDIZIONE 6 ? ID 901 - LOTTO 2	Si	SERVIZI	PROCEDURA APERTA	CONSIP SPA	Accordo quadro/Convenzione	 	IT-RM	IT	N	 	FS	FORNITURA DI SERVIZI	 	 	 	 	2014-06-12	2017-02-06	2012-11-14	0000-01-01	2013-09-16
